video_id,channel_name,komentar,text_clean,predicted_label,label,label_keterangan,predicted_score,title,tanggal,author,komentar_clean,cleaned,stemmed,tokens,token_count,char_count
MkX3K8Vmvas,tanboy kun,Pengen cobain tp jauuuh,0,0,0,bukan iklan judol,-0.4533909731398447,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Jadi inget pas maen go foot dapet SOP janda mana ambil jauh...eh pas di resto duite kurang 2 rebu ga di layanin...sedih bgt ahirnya di cansel Cs...soalnya masih go shop Sampai sekarang kl dpt ga mau lagi😂,0,0,0,bukan iklan judol,-0.7809504217399292,,,,,,,,,
MkX3K8Vmvas,tanboy kun,bang bokor yang punya kawasan kaga masuk kamera hahahaha mantap bikin ngilerrr 🤤🤤🤤,0,0,0,bukan iklan judol,-0.8021126764597002,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Gw makan sop janda itu dr jaman harga 16rb skrg udah 60rb..kangen euy kawasan mm2100 ❤,0,0,0,bukan iklan judol,-0.6017157210406995,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"Sampe ga bisa berkata kataa, wah waaah wahhhhhh",0,0,0,bukan iklan judol,-0.6967921749592605,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Itu yg harga brapa duit<br>Ko banyak bangat daging dan tangkarny?<br>Sya pernah beli yg seporsi 35br<br>Banyakan kuah dan cabenya nya dri pd isinya,0,0,0,bukan iklan judol,-1.8102771119577143,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Nah...ini yg saya tunggu SOP jada Bu darmi bang....,0,0,0,bukan iklan judol,-1.7327728324096423,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Sop jandaa bu darmi 10/10 mantapp favoritt,0,0,0,bukan iklan judol,-0.5122357291986668,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"Alhirnya di liput juga, udah lama ini restonya kan.. dulu sih best bgt.. gatau kalo sekarang",0,0,0,bukan iklan judol,-0.7389501113594501,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Emg enak bgt. Tiap ke cibitung mampir beli sop janda,0,0,0,bukan iklan judol,-0.7951367421892543,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Emang semantep itu sop janda mami darmi,0,0,0,bukan iklan judol,-0.3570816807580763,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"Coba dateng ke tambun selatan, ada makanan sopel(sosis pele) bang pedesnya nampol",0,0,0,bukan iklan judol,-1.3607294007202264,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Makan rawit kayak makan sayur,0,0,0,bukan iklan judol,-0.602916018927525,,,,,,,,,
MkX3K8Vmvas,tanboy kun,anak cikarang hadir😂,0,0,0,bukan iklan judol,-0.7742401573693279,,,,,,,,,
MkX3K8Vmvas,tanboy kun,3mamgkuk sup daging+nasi+gorengan 1piring ini mah BKN diet bang..hehehe,0,0,0,bukan iklan judol,-1.0574266966687933,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Ini tan boy kun datang jam berapa yah? Gw yg deket aja kl mau beli sop janda datangnya jam 9 pagi😂,0,0,0,bukan iklan judol,-1.119226310820233,,,,,,,,,
MkX3K8Vmvas,tanboy kun,bengkak ba jubur.,0,0,0,bukan iklan judol,-0.4313401442307692,,,,,,,,,
MkX3K8Vmvas,tanboy kun,ada TOG3L cambodia taiwan china japan hongkong sydney singapore p00ls gak ribet 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥,0,0,0,bukan iklan judol,-0.4290302069012113,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"Website gacor, Proses cepat seperti kilat, cuma disitus 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥",0,0,0,bukan iklan judol,-0.0133116108358489,,,,,,,,,
MkX3K8Vmvas,tanboy kun,【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥 bikin gue selalu stay positif karena gacornya,1,1,1,iklan judol,0.3893998898120652,,,,,,,,,
MkX3K8Vmvas,tanboy kun,mantep juga main di 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥 barusan wd 3 ikat modal 100 aja,1,1,1,iklan judol,0.3976247741968848,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Gampang banget merasakan wd di 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥,1,1,1,iklan judol,0.4258934815845038,,,,,,,,,
MkX3K8Vmvas,tanboy kun,gak heran sama 【﻿ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【﻿LAZADATOTO 】🔥🔥 pantesan semua pada betah maen,0,0,0,bukan iklan judol,-0.0687561403781757,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"Kebayang sedep kuah  kaldunya, lumer dagingnya, pedes rawit ijonya bikin flu langsung sembuh dehh",0,0,0,bukan iklan judol,-0.0122191936544113,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"Dulu sering banget makan di SOP janda Mpok Darmi, mantap banget emang, daging nya gede².",0,0,0,bukan iklan judol,-0.0272510685848403,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"Wah akhirnya  di upload njh,lama banget upload nya bang,  perasaan hampir mau sebulan take video nya.😅",0,0,0,bukan iklan judol,-1.0640988444618362,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"xprsi ga bisa boong ya,mnikmati bgt ,kynya emang seenak itu krn kynya dya kdang agk ga sadar jg deh klo lg ngvlog,mkan nya bner&quot; ky orng mkan tanpa kamera,lahap bgt ,nntn d jam kunti ngiler bgt ,dsni jg ada sop janda tp ga tau deh cbang nya apa bukan",0,0,0,bukan iklan judol,-1.201094223983258,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Karna disyut aj sebanyak itu..<br>Biasanya sih gitu buat narik pelanggan,0,0,0,bukan iklan judol,-0.8229829359570224,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Deket bgt ini dari rumah,0,0,0,bukan iklan judol,-0.6949007084173087,,,,,,,,,
MkX3K8Vmvas,tanboy kun,"Menurut ku kurang enak ,sop nya masih ke cium bau amis nya…",0,0,0,bukan iklan judol,-1.3720511400038709,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Ya Allah bang nikmat mana lagi coba yg kau dustakan itu sop iga bikin ngiler 🤤,0,0,0,bukan iklan judol,-1.1967051080511164,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Cobain maidahhh,0,0,0,bukan iklan judol,-0.3187697366654806,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Makanan setiap gajian para pekerja pabrik🎉🎉🎉🎉,0,0,0,bukan iklan judol,-0.5655915443678095,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Dah pernh dulu sering mkn disana.mantap. 1 porsi bisa buat 2 orang,0,0,0,bukan iklan judol,-0.8310901223613963,,,,,,,,,
MkX3K8Vmvas,tanboy kun,2017-2019 sering beli 😂,0,0,0,bukan iklan judol,-1.0986771637324546,,,,,,,,,
MkX3K8Vmvas,tanboy kun,asam lambung gw ngumpet liat ini,0,0,0,bukan iklan judol,-1.2330051020169237,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Dikit ajh lagi diet😹,0,0,0,bukan iklan judol,-0.671908021864076,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Sop janda disentul juga enak &amp; tempatnya rame banget,1,1,1,iklan judol,0.0347566300412312,,,,,,,,,
MkX3K8Vmvas,tanboy kun,mpo Darmi,0,0,0,bukan iklan judol,-0.4313401442307692,,,,,,,,,
MkX3K8Vmvas,tanboy kun,lucu ibunya klo ngomong,0,0,0,bukan iklan judol,-0.8432119652217056,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Ngilerrr😂,0,0,0,bukan iklan judol,-0.4313401442307692,,,,,,,,,
MkX3K8Vmvas,tanboy kun,Bekasi ini?,0,0,0,bukan iklan judol,-1.5519804001689297,,,,,,,,,
